District,Policy_Narrative,SHAP_Top_Driver,SHAP_Top_Value,SHAP_Top_Driver_Label,Tier,Tier_Label
Ariyalur,Ariyalur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.05m in 2026 and 3.98m by 2028. The water table is currently recovering at 0.23 metres per year. The district is 92% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,-0.0327654652816529,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Chengalpattu,Chengalpattu is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 2.92m in 2026 and 2.87m by 2028. The water table is currently recovering at 0.94 metres per year. The district is 48% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,ARIMA_Fitted,-0.0358105035215865,long-term structural decline trend,3,Monitor (3-5 year horizon)
Chennai,Chennai is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 3.88m in 2026 and 3.87m by 2028. The water table is currently recovering at 0.30 metres per year. The district is 79% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,ARIMA_Fitted,-0.0335367633694267,long-term structural decline trend,3,Monitor (3-5 year horizon)
Coimbatore,Coimbatore is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 11.66m in 2026 and 11.77m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 87% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 0% per kilogram of output.,ARIMA_Fitted,0.2467257306929398,long-term structural decline trend,1,Act Now (within 1 year)
Cuddalore,Cuddalore is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.18m in 2026 and 5.16m by 2028. The water table is currently recovering at 0.14 metres per year. The district is 67% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,0.0329990939390752,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Dharmapuri,Dharmapuri is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.48m in 2026 and 7.42m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 43% per kilogram of output.,LSTM_Memory,-0.0661437995072879,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Dindigul,Dindigul is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.41m in 2026 and 7.37m by 2028. The water table is currently recovering at 0.13 metres per year. The district is 89% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 43% per kilogram of output.,LSTM_Memory,-0.0428550094166129,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Erode,Erode is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.95m in 2026 and 5.89m by 2028. The water table is currently recovering at 0.21 metres per year. The district is 59% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward; Bajra cultivation share is moderating depletion. Recommended transition to Groundnut could reduce water consumption by 60% per kilogram of output.,LSTM_Memory,-0.0327225739280401,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Kallakurichi,Kallakurichi is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.63m in 2026 and 6.60m by 2028. The water table is currently recovering at 3.25 metres per year. The district is 85% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,-0.0411699822681303,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Kanchipuram,Kanchipuram is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 2.24m in 2026 and 2.14m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 36% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; Bajra cultivation share is moderating depletion. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,ARIMA_Fitted,-0.0372321058619653,long-term structural decline trend,3,Monitor (3-5 year horizon)
Kanniyakumari,Kanniyakumari is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.01m in 2026 and 5.11m by 2028. The water table is currently recovering at 0.15 metres per year. The district is 25% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,0.0766933003244944,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Karur,Karur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 5.01m in 2026 and 4.88m by 2028. The water table is currently recovering at 0.41 metres per year. The district is 90% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 0% per kilogram of output.,LSTM_Memory,-0.0298268171766515,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
